stadsdeel,gem_inkomen,jaar,huurprijs,rent_burden,groei_inkomen,groei_huurprijs,affordability_pressure
West,2910.8333333333335,2015,628,21.574577726882335,NA,NA,NA
West,3184.1666666666665,2017,731,22.957341010206754,9.390208989407375,16.401273885350317,7.011064895942942
West,3464.1666666666665,2019,859,24.796728409910994,8.793509552473175,17.510259917920656,8.716750365447481
Zuid,3970.8333333333335,2015,781,19.668415529905563,NA,NA,NA
Zuid,4343.333333333333,2017,861,19.82348426707598,9.380902413431258,10.243277848911651,0.8623754354803932
Zuid,4597.5,2019,966,21.01141924959217,5.8518802762855024,12.195121951219512,6.34324167493401
