wijk,gem_inkomen
Houthavens,25.8
Spaarndammer- en Zeeheldenbuurt,28.7
Staatsliedenbuurt,33.6
Centrale Markt,33.8
Frederik Hendrikbuurt,35.1
Da Costabuurt,37.6
Kinkerbuurt,30.3
Van Lennepbuurt,30.2
Helmersbuurt,44.3
Overtoomse Sluis,41.8
Vondelbuurt,68.6
Sloterdijk,44.6
Landlust,26.9
Erasmuspark,30.9
De Kolenkit,22.3
Van Galenbuurt,24.4
