"","Wijken.en.buurten","Inkomen.Inkomen.van.huishoudens.Gem..gestandaardiseerd.inkomen.van.huish..x.1.000.euro.","Inkomen.Inkomen.van.huishoudens.40..huishoudens.met.laagste.inkomen....","Inkomen.Inkomen.van.huishoudens.20..huishoudens.met.hoogste.inkomen....","Inkomen.Inkomen.van.huishoudens.Huishoudens.met.een.laag.inkomen...."
"1","Nederland",29.5,40,20,7.9
"2","Amsterdam",29.8,51.6,17.1,13.5
