wijk,gem_inkomen
Zuidas,68.2
Oude Pijp,43.5
Nieuwe Pijp,41.8
Zuid Pijp,30.7
Hoofddorppleinbuurt,47.2
Schinkelbuurt,44.6
Willemspark,102
Museumkwartier,81.9
Stadionbuurt,43.8
Apollobuurt,89.7
Scheldebuurt,49.9
IJselbuurt,37
Rijnbuurt,39.3
Prinses Irenebuurt e.o.,74.7
Buitenveldert-West,46.4
Buitenveldert-Oost,42.1
