wijk,gem_inkomen
Houthavens,61
Spaarndammer- en Zeeheldenbuurt,33.8
Staatsliedenbuurt,37.9
Centrale Markt,38.3
Frederik Hendrikbuurt,40.7
Da Costabuurt,45.4
Kinkerbuurt,42
Van Lennepbuurt,35.7
Helmersbuurt,50.2
Overtoomse Sluis,49.2
Vondelbuurt,69.2
Sloterdijk,48.2
Landlust,32.5
Erasmuspark,37.2
De Kolenkit,28.3
Geuzenbuurt,39
Van Galenbuurt,31.3
Hoofdweg e.o.,34.1
Westindische Buurt,41.9
Chassébuurt,35.5
Zuidas,68.2
Oude Pijp,43.5
Nieuwe Pijp,41.8
Zuid Pijp,30.7
Hoofddorppleinbuurt,47.2
Schinkelbuurt,44.6
Willemspark,102
Museumkwartier,81.9
Stadionbuurt,43.8
Apollobuurt,89.7
Scheldebuurt,49.9
IJselbuurt,37
Rijnbuurt,39.3
Prinses Irenebuurt e.o.,74.7
Buitenveldert-West,46.4
Buitenveldert-Oost,42.1
