"","Wijken.en.buurten","Inkomen.Inkomen.van.huishoudens.Gem..gestandaardiseerd.inkomen.van.huish..x.1.000.euro.","Inkomen.Inkomen.van.huishoudens.40..huishoudens.met.laagste.inkomen....","Inkomen.Inkomen.van.huishoudens.20..huishoudens.met.hoogste.inkomen....","Inkomen.Inkomen.van.huishoudens.Huishoudens.met.een.laag.inkomen...."
"1","Nederland",35.6,40,20,4.2
"2","Arnhem",31.8,50.5,14.5,5
