wijk,gem_inkomen
Oude Pijp,36.3
Nieuwe Pijp,35.2
Hoofddorppleinbuurt,39.9
Schinkelbuurt,38.4
Willemspark,82.6
Museumkwartier,84.1
Stadionbuurt,38.4
Apollobuurt,76.4
Scheldebuurt,43.1
IJselbuurt,32
Rijnbuurt,32.4
Buitenveldert-West,42.3
Buitenveldert-Oost,38.3
